elements,Raw material price (USD/kg),Supply risk,Normalized vulnerability to supply restriction,Embodied energy (MJ/kg),Rock to metal ratio (kg/kg),Water usage (l/kg),Human health damage,Human rights pressure,Labor rights pressure
Al,1.6,0.01,0.023,200.0,7.0,1010.0,17.7,49.2,34.1
Co,29.5,0.635,0.124,128.0,859.0,582.0,21.9,50.6,77.9
Cr,10.3,0.656,0.152,578.0,18.0,475.0,14.0,34.7,21.7
Cu,6.0,0.337,0.088,59.0,513.0,313.0,46.0,26.2,43.6
Fe,0.7,0.025,0.101,24.0,9.0,47.0,2.2,32.7,34.0
Hf,900.0,0.746,0.256,1133.0,3685.0,8130.0,45.5,1.0,1.0
Mn,1.6,0.579,0.126,59.0,87.0,243.0,6.0,22.3,44.2
Mo,26.3,0.666,0.141,112.0,4478.0,359.0,55.4,45.3,53.9
Nb,80.8,0.01,0.229,1850.0,503.0,155.0,22.3,36.2,15.8
Ni,11.1,0.017,0.088,167.0,250.0,228.0,35.9,29.7,64.6
Re,1110.0,0.746,0.99,8665.0,102682.0,3800.0,99.0,11.2,36.0
Ru,7390.0,0.712,0.865,24400.0,218490.0,196000.0,91.8,17.2,15.2
Si,1.7,0.023,0.104,122.0,3.0,24.0,10.4,81.1,32.1
Ta,307.5,0.328,0.044,4365.0,8946.0,648.0,56.7,60.0,99.0
Ti,13.6,0.01,0.024,588.0,99.0,110.0,16.0,44.0,45.4
V,385.0,0.613,0.113,3715.0,1335.0,648.0,29.1,88.1,39.2
W,47.3,0.041,0.102,578.0,1081.0,155.0,32.1,98.4,50.4
Zr,52.8,0.99,0.077,1610.0,275.0,276.0,1.0,19.0,32.2
