;Al;C;Co;Cr;Cu;Fe;Hf;Mn;Mo;Nb;Ni;Re;Ru;Si;Ta;Ti;V;W;Zr;UTS (MPa);Elongation (%);Mass price (USD/kg);Supply risk;Normalized vulnerability to supply restriction;Embodied energy (MJ/kg);Rock to metal ratio (kg/kg);Water usage (l/kg);Human health damage;Human rights pressure;Labor rights pressure;Class
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;708.0;39.0;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Co1 Cr1 Mn1 Ni1;0.0;0.0;0.2624242964018525;0.23156394727467047;0.0;0.0;0.0;0.24465621660135375;0.0;0.0;0.2613555397221233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;694.0;44.0;13.396602689704315;0.3961587164944371;0.121545459717937;225.42973370146072;316.2861518476359;381.90209743498394;19.859698547428433;34.55086401777872;53.170400628362486;FCC HEAs
Co1 Cr1 Ni1;0.0;0.0;0.3474236528711237;0.306567621742719;0.0;0.0;0.0;0.0;0.0;0.0;0.34600872538615723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;860.0;60.0;17.21266949652164;0.381156755444793;0.12001298381564564;279.4497700742838;390.45731635420333;426.7306037023935;24.33470361669327;38.50407146770093;56.063579341283344;FCC HEAs
Co1 Fe1 Mn1 Ni1;0.0;0.0;0.25800096318024607;0.0;0.0;0.24451643973556325;0.0;0.2405323759905433;0.0;0.0;0.2569502210936474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;550.0;41.0;10.991547983888626;0.28791072305511023;0.10960734453746133;96.00823519110376;309.0576956302488;278.99324679304755;16.87813461723191;34.06430684256971;55.64601321538579;FCC HEAs
Co1 Fe1 Ni1;0.0;0.0;0.3397129186602871;0.0;0.0;0.32195768720816276;0.0;0.0;0.0;0.0;0.3383293941315501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;513.0;31.0;13.96121159278262;0.22663621598039407;0.104327938239185;107.84002997636483;379.2933648469474;290.2343777021963;20.3095246992271;37.77567824079315;59.25903638260027;FCC HEAs
Co1 Mn1 Ni1;0.0;0.0;0.3415044042651831;0.0;0.0;0.0;0.0;0.31838201205377836;0.0;0.0;0.34011358368103844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;653.0;38.0;14.329746754751973;0.36508964750852546;0.11243976017375941;119.184637227631;406.1730311712165;353.9982324988409;21.62115845318652;34.49233127075414;62.66598647554799;FCC HEAs
Fe1 Mn1 Ni1;0.0;0.0;0.0;0.0;0.0;0.32953740854378094;0.0;0.324168043426953;0.0;0.0;0.34629454802926596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;602.0;36.0;4.57334774014633;0.19920443171780888;0.10447391701800843;84.88435803634648;117.83690263691965;173.46071807882936;15.120895671542609;28.319145930035376;47.90742974143772;FCC HEAs
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;413.0;48.0;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;670.0;56.0;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Al0.304 Co1 Cr1 Fe1 Ni1;0.035100152323215006;0.0;0.2521911918374637;0.22253422663411018;0.0;0.23901031841375103;0.0;0.0;0.0;0.0;0.2511641107914601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;620.0;87.0;12.71083128501658;0.29040025841190376;0.11201532931843627;215.68399420966185;285.8256714976465;356.48611835899607;18.817731812251978;37.500520980509144;50.00885865010475;FCC HEAs
